batch_id,job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,tree,comrad_version,DDD_version
b297344,21987726,2021-10-29T12:12:45Z,NA,NA,0.1,1,ll,19,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987727,2021-10-29T12:12:45Z,NA,NA,0.1,1,ll,20,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987725,2021-10-29T12:12:45Z,NA,NA,0.1,1,ll,18,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987724,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,17,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987746,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,39,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987747,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,40,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987744,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,37,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987745,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,38,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987737,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,30,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987736,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,29,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987738,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,31,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987739,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,32,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987732,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,25,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987734,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,27,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987733,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,26,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987729,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,22,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987730,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,23,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987731,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,24,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987728,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,21,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987735,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,28,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987719,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,12,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987753,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,46,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987718,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,11,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987754,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,47,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987755,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,48,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987713,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,6,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987714,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,7,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987711,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,4,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987712,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,5,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987717,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,10,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987715,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,8,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987716,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,9,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987741,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,34,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987742,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,35,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987743,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,36,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987740,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,33,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987749,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,42,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987750,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,43,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987752,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,45,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987751,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,44,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987720,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,13,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987748,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,41,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987722,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,15,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987721,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,14,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987723,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,16,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987710,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,3,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987709,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,2,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987708,2021-10-29T12:12:46Z,NA,NA,0.1,1,ll,1,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987756,2021-10-29T12:13:46Z,NA,NA,0.1,1,ll,49,[1] ‘1.20.1’,[1] ‘5.0’
b297344,21987757,2021-10-29T12:17:48Z,NA,NA,0.1,1,ll,50,[1] ‘1.20.1’,[1] ‘5.0’
