job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,daisie_version,ddmodel,params_i
23529667,NA,COMPLETED,14:46:27,0.091,1e-4,1,IW,11,1
23529668,NA,COMPLETED,12:27:23,0.091,1e-4,2,IW,11,1
23529669,NA,COMPLETED,18:56:46,0.091,1e-4,3,IW,11,1
23529675,NA,COMPLETED,1-07:20:06,0.091,1e-4,9,IW,11,1
23529672,NA,COMPLETED,18:28:12,0.091,1e-4,6,IW,11,1
23529671,NA,COMPLETED,12:45:42,0.091,1e-4,5,IW,11,1
23529680,NA,COMPLETED,16:30:32,0.091,1e-4,14,IW,11,1
23529681,NA,COMPLETED,08:12:42,0.091,1e-4,15,IW,11,1
23529682,NA,COMPLETED,09:33:07,0.091,1e-4,16,IW,11,1
23529674,NA,COMPLETED,13:44:56,0.091,1e-4,8,IW,11,1
23529679,NA,COMPLETED,11:21:25,0.091,1e-4,13,IW,11,1
23529678,NA,COMPLETED,14:51:45,0.091,1e-4,12,IW,11,1
23529676,NA,COMPLETED,14:09:16,0.091,1e-4,10,IW,11,1
23529673,NA,COMPLETED,10:53:36,0.091,1e-4,7,IW,11,1
23529677,NA,COMPLETED,10:29:22,0.091,1e-4,11,IW,11,1
23529683,NA,COMPLETED,16:31:21,0.091,1e-4,17,IW,11,1
23529670,NA,COMPLETED,10:40:05,0.091,1e-4,4,IW,11,1
23529684,NA,COMPLETED,12:54:18,0.091,1e-4,18,IW,11,1
23529685,NA,COMPLETED,14:46:20,0.091,1e-4,19,IW,11,1
23529686,NA,COMPLETED,00:08:20,0.091,1e-4,20,IW,11,1
23529687,NA,COMPLETED,08:19:12,0.091,1e-4,21,IW,11,1
23529688,NA,COMPLETED,11:34:59,0.091,1e-4,22,IW,11,1
23529689,NA,COMPLETED,08:53:59,0.091,1e-4,23,IW,11,1
23529691,NA,COMPLETED,12:44:53,0.091,1e-4,25,IW,11,1
23529690,NA,COMPLETED,11:24:49,0.091,1e-4,24,IW,11,1
23529692,NA,COMPLETED,08:57:32,0.091,1e-4,26,IW,11,1
23529693,NA,COMPLETED,18:04:13,0.091,1e-4,27,IW,11,1
23529694,NA,COMPLETED,00:09:01,0.091,1e-4,28,IW,11,1
23529695,NA,COMPLETED,09:30:44,0.091,1e-4,29,IW,11,1
23529696,NA,COMPLETED,11:03:19,0.091,1e-4,30,IW,11,1
23529697,NA,COMPLETED,19:21:50,0.091,1e-4,31,IW,11,1
23529698,NA,COMPLETED,00:07:27,0.091,1e-4,32,IW,11,1
23529699,NA,COMPLETED,00:08:41,0.091,1e-4,33,IW,11,1
23529700,NA,COMPLETED,09:30:28,0.091,1e-4,34,IW,11,1
23529701,NA,COMPLETED,00:08:14,0.091,1e-4,35,IW,11,1
23529702,NA,COMPLETED,12:40:22,0.091,1e-4,36,IW,11,1
23529703,NA,COMPLETED,17:18:03,0.091,1e-4,37,IW,11,1
23529704,NA,COMPLETED,16:28:23,0.091,1e-4,38,IW,11,1
23529705,NA,COMPLETED,12:18:48,0.091,1e-4,39,IW,11,1
23529706,NA,COMPLETED,00:08:26,0.091,1e-4,40,IW,11,1
23529707,NA,COMPLETED,13:42:33,0.091,1e-4,41,IW,11,1
23529708,NA,COMPLETED,12:49:46,0.091,1e-4,42,IW,11,1
23529709,NA,COMPLETED,10:03:38,0.091,1e-4,43,IW,11,1
23529710,NA,COMPLETED,11:39:47,0.091,1e-4,44,IW,11,1
23529711,NA,COMPLETED,07:49:07,0.091,1e-4,45,IW,11,1
23529712,NA,COMPLETED,07:58:40,0.091,1e-4,46,IW,11,1
23529713,NA,COMPLETED,14:20:20,0.091,1e-4,47,IW,11,1
