job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,params_i,dd_model,runtime,nb_clades
25107690,NA,NA,NA,0.369,0,1,1,1,DD,NA,NA
25107749,NA,NA,NA,0.369,0,1,1,1,DD,NA,NA
25110968,NA,NA,NA,0.369,0,1,1,1,DD,NA,NA
25111475,NA,NA,NA,0.369,0,6,1,4,DD,NA,NA
25111471,NA,NA,NA,0.369,0,5,1,4,DD,NA,NA
25111466,NA,NA,NA,0.369,0,4,1,3,DD,NA,NA
25111474,NA,NA,NA,0.369,0,6,1,3,DD,NA,NA
25111458,NA,NA,NA,0.369,0,2,1,3,DD,NA,NA
25111470,NA,NA,NA,0.369,0,5,1,3,DD,NA,NA
25111456,NA,NA,NA,0.369,0,2,1,1,DD,NA,NA
25111465,NA,NA,NA,0.369,0,4,1,2,DD,NA,NA
25111457,NA,NA,NA,0.369,0,2,1,2,DD,NA,NA
25111467,NA,NA,NA,0.369,0,4,1,4,DD,NA,NA
25111472,NA,NA,NA,0.369,0,6,1,1,DD,NA,NA
25111459,NA,NA,NA,0.369,0,2,1,4,DD,NA,NA
25111463,NA,NA,NA,0.369,0,3,1,4,DD,NA,NA
25111453,NA,NA,NA,0.369,0,1,1,2,DD,NA,NA
25111461,NA,NA,NA,0.369,0,3,1,2,DD,NA,NA
25111469,NA,NA,NA,0.369,0,5,1,2,DD,NA,NA
25111460,NA,NA,NA,0.369,0,3,1,1,DD,NA,NA
25111468,NA,NA,NA,0.369,0,5,1,1,DD,NA,NA
25111454,NA,NA,NA,0.369,0,1,1,3,DD,NA,NA
25111464,NA,NA,NA,0.369,0,4,1,1,DD,NA,NA
25111462,NA,NA,NA,0.369,0,3,1,3,DD,NA,NA
25111473,NA,NA,NA,0.369,0,6,1,2,DD,NA,NA
25111476,NA,NA,NA,0.369,0,7,1,1,DD,NA,NA
25111455,NA,NA,NA,0.369,0,1,1,4,DD,NA,NA
25111484,NA,NA,NA,0.369,0,9,1,1,DD,NA,NA
25111483,NA,NA,NA,0.369,0,8,1,4,DD,NA,NA
25111482,NA,NA,NA,0.369,0,8,1,3,DD,NA,NA
25111481,NA,NA,NA,0.369,0,8,1,2,DD,NA,NA
25111499,NA,NA,NA,0.369,0,12,1,4,DD,NA,NA
25111498,NA,NA,NA,0.369,0,12,1,3,DD,NA,NA
25111495,NA,NA,NA,0.369,0,11,1,4,DD,NA,NA
25111494,NA,NA,NA,0.369,0,11,1,3,DD,NA,NA
25111496,NA,NA,NA,0.369,0,12,1,1,DD,NA,NA
25111497,NA,NA,NA,0.369,0,12,1,2,DD,NA,NA
25111491,NA,NA,NA,0.369,0,10,1,4,DD,NA,NA
25111489,NA,NA,NA,0.369,0,10,1,2,DD,NA,NA
25111486,NA,NA,NA,0.369,0,9,1,3,DD,NA,NA
25111488,NA,NA,NA,0.369,0,10,1,1,DD,NA,NA
25111487,NA,NA,NA,0.369,0,9,1,4,DD,NA,NA
25111490,NA,NA,NA,0.369,0,10,1,3,DD,NA,NA
25111479,NA,NA,NA,0.369,0,7,1,4,DD,NA,NA
25111478,NA,NA,NA,0.369,0,7,1,3,DD,NA,NA
25111477,NA,NA,NA,0.369,0,7,1,2,DD,NA,NA
25111480,NA,NA,NA,0.369,0,8,1,1,DD,NA,NA
25111509,NA,NA,NA,0.369,0,15,1,2,DD,NA,NA
25111508,NA,NA,NA,0.369,0,15,1,1,DD,NA,NA
25111518,NA,NA,NA,0.369,0,17,1,3,DD,NA,NA
25111519,NA,NA,NA,0.369,0,17,1,4,DD,NA,NA
25111520,NA,NA,NA,0.369,0,18,1,1,DD,NA,NA
25111507,NA,NA,NA,0.369,0,14,1,4,DD,NA,NA
25111522,NA,NA,NA,0.369,0,18,1,3,DD,NA,NA
25111521,NA,NA,NA,0.369,0,18,1,2,DD,NA,NA
25111517,NA,NA,NA,0.369,0,17,1,2,DD,NA,NA
25111493,NA,NA,NA,0.369,0,11,1,2,DD,NA,NA
25111492,NA,NA,NA,0.369,0,11,1,1,DD,NA,NA
25111511,NA,NA,NA,0.369,0,15,1,4,DD,NA,NA
25111512,NA,NA,NA,0.369,0,16,1,1,DD,NA,NA
25111485,NA,NA,NA,0.369,0,9,1,2,DD,NA,NA
25111510,NA,NA,NA,0.369,0,15,1,3,DD,NA,NA
25111526,NA,NA,NA,0.369,0,19,1,3,DD,NA,NA
25111525,NA,NA,NA,0.369,0,19,1,2,DD,NA,NA
25111524,NA,NA,NA,0.369,0,19,1,1,DD,NA,NA
25111523,NA,NA,NA,0.369,0,18,1,4,DD,NA,NA
25111513,NA,NA,NA,0.369,0,16,1,2,DD,NA,NA
25111515,NA,NA,NA,0.369,0,16,1,4,DD,NA,NA
25111514,NA,NA,NA,0.369,0,16,1,3,DD,NA,NA
25111516,NA,NA,NA,0.369,0,17,1,1,DD,NA,NA
25111503,NA,NA,NA,0.369,0,13,1,4,DD,NA,NA
25111505,NA,NA,NA,0.369,0,14,1,2,DD,NA,NA
25111502,NA,NA,NA,0.369,0,13,1,3,DD,NA,NA
25111506,NA,NA,NA,0.369,0,14,1,3,DD,NA,NA
25111504,NA,NA,NA,0.369,0,14,1,1,DD,NA,NA
25111501,NA,NA,NA,0.369,0,13,1,2,DD,NA,NA
25111500,NA,NA,NA,0.369,0,13,1,1,DD,NA,NA
25111528,NA,NA,NA,0.369,0,20,1,1,DD,NA,NA
25111527,NA,NA,NA,0.369,0,19,1,4,DD,NA,NA
25111529,NA,NA,NA,0.369,0,20,1,2,DD,NA,NA
25111535,NA,NA,NA,0.369,0,21,1,4,DD,NA,NA
25111530,NA,NA,NA,0.369,0,20,1,3,DD,NA,NA
25111538,NA,NA,NA,0.369,0,22,1,3,DD,NA,NA
25111540,NA,NA,NA,0.369,0,23,1,1,DD,NA,NA
25111536,NA,NA,NA,0.369,0,22,1,1,DD,NA,NA
25111541,NA,NA,NA,0.369,0,23,1,2,DD,NA,NA
25111539,NA,NA,NA,0.369,0,22,1,4,DD,NA,NA
25111537,NA,NA,NA,0.369,0,22,1,2,DD,NA,NA
25111542,NA,NA,NA,0.369,0,23,1,3,DD,NA,NA
25111531,NA,NA,NA,0.369,0,20,1,4,DD,NA,NA
25111532,NA,NA,NA,0.369,0,21,1,1,DD,NA,NA
25111534,NA,NA,NA,0.369,0,21,1,3,DD,NA,NA
25111533,NA,NA,NA,0.369,0,21,1,2,DD,NA,NA
25111543,NA,NA,NA,0.369,0,23,1,4,DD,NA,NA
